_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
675ae9f31df1c69f150dda56,,89.33,100,89.33,80.24,48;0;0;0,words,10,-1,9,6.45,0,17.38,false,false,english,none,master,false,false,false,,1734011379000
675ae9ca1df1c69f150dd806,,89.18,100,89.18,78.32,49;0;0;0,words,10,-1,7,6.59,0,9.21,false,false,english,none,master,false,false,false,,1734011338000
675ae9a71df1c69f150dd5d6,,88.84,100,88.84,76.06,48;0;0;0,words,10,-1,24,6.48,0,45.52,false,false,english,none,master,false,false,false,,1734011303000
675ae94c1df1c69f150dd04c,,90.59,100,90.59,76.74,52;0;0;0,words,10,-1,25,6.89,0,45.01,false,false,english,none,master,false,false,false,,1734011212000
675a844f1df1c69f15098833,,95.84,100,95.84,85.09,52;0;0;0,words,10,-1,5,6.51,0,6.71,false,false,english,none,master,false,false,false,,1733985359000
67599fa91df1c69f15fec33e,,91.52,100,91.52,82.28,53;0;0;0,words,10,-1,25,6.95,0,57.94,false,false,english,none,master,false,false,false,,1733926825000
67599f2d1df1c69f15febb4c,,89.47,100,89.47,59.9,55;0;0;0,words,10,-1,25,7.38,0,39.83,false,false,english,none,master,false,false,false,,1733926701000
67599e671df1c69f15feaef7,,100.41,100,100.41,73.63,46;0;0;0,words,10,-1,22,5.5,0,38.71,false,false,english,none,master,false,false,false,,1733926503000
67599e0e1df1c69f15fea933,,90.77,100,90.77,78.57,56;0;0;0,words,10,-1,22,7.4,0,40.52,false,false,english,none,master,false,false,false,,1733926414000
67599db31df1c69f15fea33c,,87.6,100,87.6,69.47,47;0;0;0,words,10,-1,45,6.44,0,51.53,false,false,english,none,master,false,false,false,,1733926323000
675870506111f4bec9a9cf85,,95.72,100,95.72,61.84,49;0;0;0,words,10,-1,14,6.14,0,14.97,false,false,english,none,master,false,false,false,,1733849168000
675870106111f4bec9a9cb0f,,98.69,100,98.69,82.52,57;0;0;0,words,10,-1,10,6.93,0,14.47,false,false,english,none,master,false,false,false,,1733849104000
67586fdb6111f4bec9a9c7cb,,98.85,100,98.85,66,42;0;0;0,words,10,-1,9,5.1,0,16.15,false,false,english,none,master,false,false,false,,1733849051000
67586fb56111f4bec9a9c538,,98.77,100,98.77,89.1,47;0;0;0,words,10,-1,1,5.71,0,0.63,false,false,english,none,master,false,false,false,,1733849013000
67586f9a6111f4bec9a9c354,,91.31,100,91.31,83.09,51;0;0;0,words,10,-1,30,6.7,0,36.46,false,false,english,none,master,false,false,false,,1733848986000
6756e6ee6111f4bec996c6a3,,98.77,100,98.77,65.99,44;0;0;0,words,10,-1,13,5.35,0,17.89,false,false,english,none,master,false,false,false,,1733748462000
6756e6c26111f4bec996c49f,,95.04,100,95.04,75.99,51;0;0;0,words,10,-1,7,6.44,0,24.29,false,false,english,none,master,false,false,false,,1733748418000
6756e6856111f4bec996c1b4,,97.66,100,97.66,78.34,51;0;0;0,words,10,-1,19,6.27,0,32.59,false,false,english,none,master,false,false,false,,1733748357000
6756e6226111f4bec996bcf2,,90.67,100,90.67,71.44,48;0;0;0,words,10,-1,38,6.35,0,48.02,false,false,english,none,master,false,false,false,,1733748258000
6756e5a26111f4bec996b6d2,,106.8,100,106.8,59.01,46;0;0;0,words,10,-1,26,5.17,0,24.89,false,false,english,none,master,false,false,false,,1733748130000
6755bd3c6111f4bec98c36bc,,86.55,100,86.55,60.08,51;0;0;0,words,10,-1,27,7.07,0,33.37,false,false,english,none,master,false,false,false,,1733672252000
6755bc8a6111f4bec98c2fa2,,87.47,100,87.47,81.94,48;0;0;0,words,10,-1,28,6.59,0,44.09,false,false,english,none,master,false,false,false,,1733672074000
6755bc1c6111f4bec98c2af3,,110.94,100,110.94,92.47,51;0;0;0,words,10,-1,11,5.52,0,6.83,false,false,english,none,master,false,false,false,,1733671964000
6755bbfa6111f4bec98c296a,,96.02,100,96.02,82.75,52;0;0;0,words,10,-1,6,6.5,0,5.37,false,false,english,none,master,false,false,false,,1733671930000
67558a756111f4bec98a2c5b,,97.07,100,97.07,80.92,47;0;0;0,words,10,-1,22,5.81,0,36.38,false,false,english,none,master,false,false,false,,1733659253000
675460506111f4bec9812043,,93.44,100,93.44,65.02,49;0;0;0,words,10,-1,18,6.29,0,17.05,false,false,english,none,master,false,false,false,,1733582928000
67545f806111f4bec98117e6,,101.57,100,101.57,91.45,56;0;0;0,words,10,-1,7,6.62,0,12.52,false,false,english,none,master,false,false,false,,1733582720000
67545f566111f4bec981162d,,99.85,100,99.85,77.84,53;0;0;0,words,10,-1,34,6.37,0,33.54,false,false,english,none,master,false,false,false,,1733582678000
67545ef36111f4bec981128b,true,116.07,100,116.07,88.9,46;0;0;0,words,10,-1,2,4.76,0,2.06,false,false,english,none,master,false,false,false,,1733582579000
67545ee56111f4bec98111fa,,107.26,100,107.26,68.85,49;0;0;0,words,10,-1,5,5.48,0,11.56,false,false,english,none,master,false,false,false,,1733582565000
67533c8144765f7d6ca7b1f8,,104.89,100,104.89,83.26,52;0;0;0,words,10,-1,21,5.95,0,25.88,false,false,english,none,master,false,false,false,,1733508225000
67533c2b44765f7d6ca7ac77,,99.35,100,99.35,81.3,49;0;0;0,words,10,-1,27,5.92,0,22.69,false,false,english,none,master,false,false,false,,1733508139000
67533b5344765f7d6ca79e20,,103.74,100,103.74,80.08,51;0;0;0,words,10,-1,12,5.9,0,18.37,false,false,english,none,master,false,false,false,,1733507923000
67533b1a44765f7d6ca79a88,,98.38,100,98.38,78.99,47;0;0;0,words,10,-1,20,5.73,0,25.1,false,false,english,none,master,false,false,false,,1733507866000
675329a444765f7d6ca66614,,93.28,100,93.28,78.1,51;0;0;0,words,10,-1,8,6.56,0,8.6,false,false,english,none,master,false,false,false,,1733503396000
6751a52044765f7d6c928f6f,,111.26,100,111.26,92.23,52;0;0;0,words,10,-1,10,5.61,0,10.27,false,false,english,none,master,false,false,false,,1733403936000
6751a4fc44765f7d6c928d6b,,103.02,100,103.02,63.42,52;0;0;0,words,10,-1,21,6.06,0,34.2,false,false,english,none,master,false,false,false,,1733403900000
6751a4b144765f7d6c92890f,,112.52,100,112.52,88.71,44;0;0;0,words,10,-1,24,4.69,0,33.01,false,false,english,none,master,false,false,false,,1733403825000
6751a46544765f7d6c9284c0,,98.42,100,98.42,65.04,51;0;0;0,words,10,-1,10,6.22,0,8.06,false,false,english,none,master,false,false,false,,1733403749000
6751a44444765f7d6c9282d2,,107.83,100,107.83,82.3,44;0;0;0,words,10,-1,7,4.9,0,3.2,false,false,english,none,master,false,false,false,,1733403716000
67501ab586fa6e365f1b5a13,,108.1,100,108.1,93.59,52;0;0;0,words,10,-1,0,5.77,0,0,false,false,english,none,master,false,false,false,,1733302965000
675019f486fa6e365f1b5196,,109.04,100,109.04,79.49,49;0;0;0,words,10,-1,41,5.39,0,49.9,false,false,english,none,master,false,false,false,,1733302772000
6750192e86fa6e365f1b48e9,,100.44,100,100.44,75.96,45;0;0;0,words,10,-1,67,5.38,0,130.32,false,false,english,none,master,false,false,false,,1733302574000
